,feature_2,feature_4,target,category_1_encoded,feature_9
0,1.146508737,0.833004669,1,0,0.0
1,-0.061846062,0.403767697,0,1,-0.061846062
2,1.395115059,1.70826608,1,2,2.790230118
3,2.657560175,2.649051035,1,2,5.31512035
4,-0.499391236,-0.441656301,0,1,-0.499391236
5,-0.699415429,-0.702774636,0,1,-0.699415429
6,3.117904476,3.31270818,1,2,6.235808952
7,1.730870306,1.411069642,1,2,3.461740612
8,-0.877918605,-0.532916711,0,1,-0.877918605
9,1.31473826,1.456164596,1,2,2.62947652
10,-0.858484601,-0.963707137,0,1,-0.858484601
11,-1.191124695,-1.386235908,0,1,-1.191124695
12,-0.020244858,0.316207519,0,0,-0.0
13,-3.796798737,-3.856993263,0,3,-11.390396211
14,-3.492620958,-3.772178197,0,3,-10.477862874
15,-1.319964206,-1.473792113,1,3,-3.9598926180000005
16,-2.365787691,-2.058105831,0,3,-7.097363073
17,0.481546022,-0.162675258,0,0,0.0
18,-1.854946448,-1.99711001,0,3,-5.564839344
19,-2.691431838,-2.26319877,0,3,-8.074295514000001
20,2.969023754,2.901737045,1,2,5.938047508
21,-0.129939152,-0.020812459,1,1,-0.129939152
22,-0.072064402,0.362643184,0,0,-0.0
23,-2.673284594,-2.316352733,0,3,-8.019853782
24,-1.0793057,-1.25532921,0,3,-3.2379170999999998
25,0.360779004,0.308621583,1,0,0.0
26,-2.389290127,-2.027384567,0,3,-7.167870381
27,0.965732111,1.341519906,1,0,0.0
28,-1.142232428,-1.177452478,0,3,-3.4266972840000003
29,-0.719276497,-0.740694757,0,1,-0.719276497
30,-1.20581803,-1.098744552,1,3,-3.6174540900000003
31,3.656645197,4.203405473,1,2,7.313290394
32,0.070841221,0.497867669,1,1,0.070841221
33,-2.351377208,-2.074022526,0,3,-7.054131624
34,1.639219484,1.207751773,1,2,3.278438968
35,-2.362625849,-2.472559212,0,3,-7.087877547
36,0.424331851,0.335417182,0,0,0.0
37,-3.649951999,-3.082557986,0,3,-10.949855997
38,-2.501567543,-2.597113299,0,3,-7.5047026290000005
39,0.392226312,0.893603442,0,0,0.0
40,1.520270979,1.291991511,1,2,3.040541958
41,0.401869673,0.20551609,0,0,0.0
42,-0.150636644,0.041944998,0,1,-0.150636644
43,-0.96733899,-0.340080308,0,1,-0.96733899
44,-3.01734924,-3.102060092,0,3,-9.052047720000001
45,-1.73657623,-2.761683375,0,3,-5.20972869
46,-0.665621352,-1.291294713,0,1,-0.665621352
47,2.102074548,2.221259171,1,2,4.204149096
48,0.648568389,0.058649978,1,0,0.0
49,-3.346720844,-3.692945975,0,3,-10.040162532
50,0.732632898,0.737569679,1,0,0.0
51,-0.995891464,-1.975638362,0,1,-0.995891464
52,-1.368025073,-1.519915389,0,3,-4.104075219
53,1.156319183,0.69039576,1,2,2.312638366
54,1.713092467,1.11342058,1,2,3.426184934
55,1.724504992,1.403631216,1,2,3.449009984
56,-1.715143111,-2.142826681,0,3,-5.145429333
57,-0.641414938,-0.453622851,0,1,-0.641414938
58,0.366080578,0.844691293,1,0,0.0
59,2.181423371,2.03565263,0,2,4.362846742
60,-0.978769087,-1.217219399,0,1,-0.978769087
61,-0.363807338,-0.529489338,0,1,-0.363807338
62,-2.13254162,-2.575816464,0,3,-6.3976248600000005
63,-2.550028499,-3.065525257,0,3,-7.650085497000001
64,1.716322839,1.058101058,1,2,3.432645678
65,2.639065128,2.107256745,1,2,5.278130256
66,-0.323337351,0.329459052,0,1,-0.323337351
67,2.121755294,1.84558688,1,2,4.243510588
68,1.021606822,-0.155044567,1,0,0.0
69,-1.145273635,-1.38009641,0,3,-3.435820905
70,0.907386724,0.271220909,1,0,0.0
71,2.971947012,2.995740988,0,2,5.943894024
72,-0.391176024,-0.410517486,1,1,-0.391176024
73,3.427314816,3.449669071,1,2,6.854629632
74,-4.82858723,-4.844877662,0,3,-14.48576169
75,1.952366364,1.803282242,1,2,3.904732728
76,0.106936949,-0.4754215,0,0,0.0
77,-0.828941569,-0.858803197,0,1,-0.828941569
78,-0.029614986,0.377954849,0,0,-0.0
79,-4.311884343,-3.586415109,0,3,-12.935653029000001
80,-0.460819499,-0.55601603,0,1,-0.460819499
81,1.035360735,0.983516757,1,0,0.0
82,2.927455563,3.127626435,1,2,5.854911126
83,-0.976075856,-0.378779233,0,3,-2.928227568
84,-1.341867813,-1.536386457,0,3,-4.025603438999999
85,-1.08433315,-0.807272623,0,3,-3.25299945
86,2.237910527,1.908782821,1,2,4.475821054
87,1.055921101,1.187860697,1,0,0.0
88,-1.085742675,-0.697501005,0,3,-3.2572280250000003
89,0.911028013,0.394683771,1,2,1.822056026
90,0.333602708,0.123544819,1,0,0.0
91,1.867784993,2.249698231,1,2,3.735569986
92,-1.635417231,-1.388952739,0,3,-4.906251693
93,-0.399076562,0.015301894,1,1,-0.399076562
94,-0.540926829,-0.20155097,1,1,-0.540926829
95,-2.895927576,-3.032368987,0,3,-8.687782728
96,0.339667603,1.219343663,1,0,0.0
97,0.276205294,0.33096929,1,0,0.0
98,0.031672771,-1.190610809,0,0,0.0
99,-0.569148474,-0.682087023,0,1,-0.569148474
100,-2.898960071,-3.086628573,0,3,-8.696880213
101,-0.636898015,-0.318798348,0,1,-0.636898015
102,-0.53879317,-0.719267296,0,1,-0.53879317
103,-1.328926002,-0.889338004,0,3,-3.9867780059999998
104,-0.520696068,-0.297456319,1,1,-0.520696068
105,0.7394634,0.339427215,1,0,0.0
106,3.924168142,3.868018807,1,2,7.848336284
107,0.438771294,0.128557916,0,0,0.0
108,0.821576858,0.895480317,1,0,0.0
109,-0.06478449,-0.377380837,0,1,-0.06478449
110,-3.46792061,-3.438146518,0,3,-10.40376183
111,0.054975809,-0.053946491,0,1,0.054975809
112,0.332893909,0.272004608,1,0,0.0
113,4.861781236,-0.0195407195,1,2,9.723562472
114,-0.381864487,-0.526058578,0,1,-0.381864487
115,0.785283565,0.01151033,1,0,0.0
116,0.253172095,0.659502553,0,1,0.253172095
117,-2.191508685,-1.788326325,0,3,-6.574526055
118,2.269011275,1.477435205,1,2,4.53802255
119,1.779333071,1.498973223,1,2,3.558666142
120,1.143668163,1.317992386,1,2,2.287336326
121,-2.10322181,-1.893540505,0,3,-6.30966543
122,2.941915467,2.940025961,1,2,5.883830934
