,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target,category_1_encoded,Region A,Region B,Region C
0,0.496714153,1.146508737,-0.648520673,0.833004669,0.784919779,-2.209436746,-1.30010452,-2.242240581,1,0,0,0,1
1,-0.138264301,-0.061846062,0.005196478,0.403767697,0.704674219,-2.498565114,-1.339227042,-1.942298207,0,1,1,0,0
2,0.647688538,1.395115059,-0.764125893,1.70826608,-0.250029374,1.956258916,1.190238025,1.503559426,1,2,0,0,1
3,1.523029856,2.657560175,-2.461653292,2.649051035,0.882201381,3.445638151,2.120912758,3.409035479,1,2,0,1,0
4,-0.234153375,-0.499391236,0.576096573,-0.441656301,0.610601017,0.211425039,0.935759427,-0.40146271,0,1,0,0,1
5,-0.234136957,-0.699415429,0.268971993,-0.702774636,0.702282638,-0.332383014,0.453957698,-0.826721089,0,1,1,0,0
6,1.579212816,3.117904476,-2.885133361,3.31270818,0.864707589,2.045283155,1.53154674,1.771851467,1,2,1,0,0
7,0.767434729,1.730870306,-1.445876966,1.411069642,0.874002531,0.674729998,0.812931193,1.489837947,1,2,1,0,0
8,-0.469474386,-0.877918605,0.575087166,-0.532916711,-0.519870073,-0.003137471,-9.65E-05,-4.779959945,0,1,1,0,0
9,0.542560044,1.31473826,-0.403383358,1.456164596,-0.744624576,1.987344689,0.43196587,3.309386227,1,2,0,0,1
10,-0.463417693,-0.858484601,0.965469628,-0.963707137,0.381749887,-2.673808526,-1.021146283,-2.196358784,0,1,0,1,0
11,-0.465729754,-1.191124695,1.185753054,-1.386235908,0.126427913,-0.023440667,-0.052032105,0.467598073,0,1,0,1,0
12,0.241962272,-0.020244858,0.005196478,0.316207519,-0.345146989,-0.88297283,-0.473575781,-1.429931356,0,0,0,1,0
13,-1.913280245,-3.796798737,2.709495126,-3.856993263,0.368899014,-1.281317152,-0.147437557,-1.358063442,0,3,0,1,0
14,-1.724917833,-3.492620958,2.530830691,-3.772178197,-0.876006245,0.093875103,-0.444962495,-0.477625668,0,3,0,1,0
